     -7.19     -22.22
     -4.03     -20.78
      6.76      -8.13
    -12.82      -2.28
    -16.75     -19.28
      9.63     -22.23
     17.52     -10.12
     -8.15       7.24
     11.60      19.80
     20.95      14.41
    -10.97      -1.01
     -0.03      15.53
    -24.00       5.37
     17.12      18.43
     13.24       9.30
     15.87     -21.93
      8.86      19.75
    -14.59       9.42
    -22.15      -8.83
    -23.43      -2.47
      0.97       8.07
      6.57     -15.05
      0.69      12.75
     -1.74      -6.11
     12.71     -11.09
