      0.03       0.02
      0.07       1.75
     -0.34      -1.46
     -0.08       0.13
      3.37      -0.92
      0.20      -0.32
     -0.39       0.42
     -0.10      -0.51
     -0.53      -1.30
      0.59       0.15
     -0.73      -1.95
      0.47      -0.39
     -0.82       0.23
      0.83       0.42
     -0.19      -2.21
      0.14       0.51
     -0.53       0.79
     -0.14      -0.45
      1.00       0.57
      2.17      -1.14
     -0.92       0.26
     -1.20      -0.52
      0.76       0.08
     -0.78      -0.23
     -0.83       1.78
