      1.43       2.26
     12.01       5.77
     -5.09       4.46
    -16.14     -22.73
     -1.13      11.60
     -5.07      22.28
      9.04       1.51
      6.48      14.63
     15.64     -10.91
    -22.80     -24.00
    -13.55     -23.49
     11.93      20.33
     -0.88     -14.09
     -8.90      18.55
     -8.84      15.84
      3.19      20.90
     -5.70      -1.51
      0.59       9.70
      9.79      -1.22
      9.83       6.80
     12.71      16.40
     -6.31      -6.51
    -23.64      20.48
      8.18     -17.24
     18.76      -9.19
