      1.34       1.66
      1.32      -0.38
     -0.89      -0.51
      2.42      -1.03
     -0.64      -0.11
     -0.66      -0.47
     -0.43       1.95
      0.02      -0.73
      1.61      -0.28
     -0.71       0.40
     -1.85       0.98
      0.95       0.53
      0.48      -0.26
      0.74      -0.87
      1.10      -0.59
     -1.23      -0.13
      0.44       0.90
     -0.09       0.74
      1.10       1.69
     -0.92      -0.83
      0.23      -0.62
      1.48       0.43
     -0.92      -1.47
     -0.20      -1.12
      0.66       0.17
