      1.63       1.03
     -0.20       0.46
      0.71       2.71
     -0.41      -0.30
     -1.05       0.61
      0.35      -0.85
      0.88       0.49
      1.69       0.45
      1.87      -0.06
     -0.41      -0.55
      0.10      -0.97
      0.90       1.40
      0.84       1.36
     -1.13       1.28
     -0.14       0.70
      1.07       0.35
      0.41      -0.50
      0.67       0.15
      1.15       1.15
      1.10       0.05
      0.21      -0.56
      1.23       1.40
     -1.07      -1.75
      0.78       0.67
     -0.75      -0.66
